200,12,12,12,12,200,12,12,12,12,12,12,12,12
200,12,200,12,200,200,12,200,12,200,200,200,200,200
200,200,12,12,12,12,12,200,12,200,200,200,200,200
200,200,200,12,200,12,200,200,12,200,200,200,200,200
200,200,200,12,200,200,200,200,12,200,200,200,200,200
200,12,12,12,12,12,12,200,12,200,200,200,200,200
200,12,200,12,200,200,200,200,200,200,200,200,200,200
200,12,200,12,12,12,12,12,12,200,200,200,200,200
12,12,200,12,200,200,200,12,200,200,200,200,200,200
200,200,200,12,200,200,200,12,200,200,200,200,200,200
200,200,200,12,200,200,200,12,200,200,200,200,200,200
200,200,200,12,200,200,200,12,200,200,200,200,200,200
200,200,200,12,200,200,200,12,200,200,200,200,200,200
